date,precip,t2m,rh2m,wind,rad,ps
1985-02-19,0.0,17.25,53.1,2.24,22.15,83.61
1985-02-20,0.0,18.1,47.86,2.54,17.63,83.47
1985-02-21,0.0,18.09,49.1,2.95,20.84,83.47
1985-02-22,0.0,17.1,53.5,2.99,20.49,83.55
1985-02-23,0.0,17.45,53.92,2.41,21.96,83.48
1985-02-24,0.0,18.6,46.85,2.68,18.75,83.42
1985-02-25,0.0,17.55,44.53,2.78,22.22,83.53
1985-02-26,0.1,17.73,43.74,2.98,15.43,83.56
1985-02-27,0.16,18.88,47.34,2.16,18.61,83.6
1985-02-28,0.0,19.82,55.08,2.24,21.09,83.65
1985-03-01,0.0,20.76,48.11,2.0,24.06,83.51
1985-03-02,0.0,20.29,51.43,2.55,23.75,83.42
1985-03-03,0.0,20.25,48.69,2.65,24.37,83.3
1985-03-04,0.0,20.4,41.0,2.2,24.29,83.24
1985-03-05,0.0,21.12,42.04,1.92,24.51,83.44
1985-03-06,0.0,21.0,46.39,3.05,24.09,83.51
1985-03-07,0.0,21.08,46.88,1.99,25.49,83.6
1985-03-08,0.0,19.38,43.08,4.39,25.63,83.6
1985-03-09,0.01,18.71,49.77,4.66,24.54,83.69
1985-03-10,0.18,19.92,50.25,2.5,23.84,83.77
1985-03-11,0.03,21.43,41.45,2.1,24.41,83.6
1985-03-12,0.0,20.35,41.74,2.65,21.68,83.39
1985-03-13,0.0,18.96,36.68,3.26,25.64,83.43
1985-03-14,0.0,18.21,37.75,2.11,23.55,83.42
1985-03-15,0.0,18.67,41.33,3.17,26.07,83.44
1985-03-16,0.0,19.6,40.38,2.53,27.13,83.51
1985-03-17,0.0,20.37,38.9,2.51,28.31,83.57
1985-03-18,0.0,20.45,41.92,3.18,26.56,83.64
1985-03-19,0.0,19.49,46.11,4.09,27.43,83.62
1985-03-20,0.0,18.04,47.59,4.84,19.14,83.49
1985-03-21,0.0,18.38,44.43,3.41,25.46,83.38
1985-03-22,0.0,19.06,42.96,3.65,27.6,83.37
1985-03-23,0.0,20.09,37.63,2.32,26.77,83.48
